"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ATXN2",6366.66544487347,-0.0941504718824999,0.141220199945535,0.50114304901849,0.659037434325686
"LOC107529570",0,NA,NA,NA,NA
"LOC107529571",0,NA,NA,NA,NA
"LOC107529573",4.66513176231345,-0.407764278934131,1.01490953066503,0.267131561267291,0.469050151474615
"DTX1",3.07525185812703,0.502063574302473,1.12060993532604,0.180143485629006,0.389970391248857
"IQCD",34.8411535500019,0.16538340009909,0.608195435622279,0.730459776477596,0.824989865198225
"SDS",36.5150198679655,-0.658910314709786,0.669095570420051,0.182798620897902,0.389970391248857
"TPCN1",263.358612122329,0.388203300495883,0.277765958836211,0.144891718207697,0.346914407201665
"SDSL",0,NA,NA,NA,NA
"LHX5",0,NA,NA,NA,NA
"ZNF473",7.87631976111837,-0.89010880199788,1.68546082034589,0.0119590519226487,0.0637816102541264
"PHETA1",9361.39748452669,-0.101565584274368,0.13301294595666,0.424861188727756,0.586581618059673
"ACAD10",319.789924541223,0.199784142584134,0.248192096266049,0.406070154976486,0.57327551290798
"ALDH2",3760.09453683249,0.173546924440198,0.127262735322872,0.169399787480035,0.378487385526943
"NAA25",0,NA,NA,NA,NA
"PTPN11",0,NA,NA,NA,NA
"RPH3A",0,NA,NA,NA,NA
"LOC107529575",0,NA,NA,NA,NA
"LOC107529617",0,NA,NA,NA,NA
"DTX1.1",15.8945901709314,0.0468079720827642,0.785955094337767,0.924878018503226,0.949452070423955
"SLC8B1",1620.28984161487,-0.0261039441971377,0.142531569854798,0.853572112677387,0.910476920189213
"RITA1",195.782689631354,-0.151200772631145,0.29997079514865,0.594404993416775,0.7508273601054
"KDM2B",22.5978768515789,0.271863126119627,0.796790080846937,0.538188759003648,0.698190822491219
"CAMKK2",350.695313039938,0.78014636358576,0.260120388007903,0.00180691349483972,0.0168522122118733
"CAMKK2.1",2919.15902885362,0.166366474832989,0.136293481654306,0.210531655033936,0.404502707381795
"RNF34",13848.1202369553,-0.212779889323289,0.116296898300472,0.0648666426188764,0.188702960345822
"ATP2A2",26351.53203549,-0.279650995607072,0.106866743313168,0.00839982609976602,0.0474343120927963
"ANAPC7",14607.3744374814,-0.0710102473053284,0.121167459161497,0.554305777656784,0.709511395400684
"GPN3",6523.80952995197,-0.426611841127266,0.139537724345,0.00193098264927715,0.0168522122118733
"PPTC7",10144.7944902715,-0.160154264049548,0.113867364598466,0.147908860633581,0.346914407201665
"CUX2",883.59214060055,0.669384598079133,0.211459691369199,0.00111714624928634,0.0119162266590543
"SH2B3",7362.79385993377,-0.257166892164312,0.133521922720989,0.0453503389315917,0.140439759272026
"TMEM120B",1832.51509608519,0.306875021601289,0.14631340188151,0.0342813206488159,0.119756456130026
"KDM2B.1",0,NA,NA,NA,NA
"ATXN2.1",8893.17380549408,0.0654009488316205,0.126317660233428,0.602502766970929,0.75117228089882
"BRAP",7056.71848201782,-0.222182733773824,0.123371784967763,0.0689809424397801,0.194769719829967
"MAPKAPK5",0,NA,NA,NA,NA
"LOC107529570.1",503.445273930796,0.158440932804452,0.223364260583477,0.466378855299852,0.621838473733135
"TMEM116",57.9620077786589,-0.16497279722944,0.468789310953113,0.689139561926361,0.797077083673863
"ERP29",2865.78584438652,-0.192740043298596,0.134488618581386,0.147022544499487,0.346914407201665
"ERP29.1",43.0360814153318,0.2186976171944,0.524166786843569,0.628205300848794,0.773175754890823
"HECTD4",0,NA,NA,NA,NA
"HECTD4.1",0,NA,NA,NA,NA
"RPL6",15761.6173115864,0.296218854438243,0.126469538931712,0.0180701028374509,0.081902044420311
"RPH3A.1",34.2318286717054,0.846080641588913,0.684823033933721,0.10560282203332,0.289653454719962
"RASAL1",112.441517156562,0.482386399171616,0.381095493433421,0.16953080810061,0.378487385526943
"DDX54",47.2427223726009,0.47694716674012,0.560154195380782,0.300725209271705,0.495676874194395
"RASAL1.1",0,NA,NA,NA,NA
"RASAL1.2",0,NA,NA,NA,NA
"RASAL1.3",0,NA,NA,NA,NA
"DDX54.1",984.390155453008,0.482819254161259,0.186101236127128,0.00810265729222364,0.0474343120927963
"TPCN1.1",2369.16034583572,-0.195044915014433,0.136437347441582,0.148161361409044,0.346914407201665
"PLBD2",1266.82672302526,0.177577185427088,0.160954515671688,0.265123633054717,0.469050151474615
"PLBD2.1",4229.36533451446,-0.360952440345882,0.153327681693705,0.0170196455588804,0.081902044420311
"ANAPC5",0,NA,NA,NA,NA
"ANAPC5.1",222.935002468718,0.650180613527926,0.286990707190458,0.0177353646953399,0.081902044420311
"RBM19",95.0757036287093,0.341617703898513,0.390437372441141,0.34432488400237,0.533148207487541
"RBM19.1",40.3561015478127,0.615917756576725,0.634994806752096,0.207625823768678,0.404502707381795
"TBX5",6878.70940887318,-8.12442289438665,0.751947396111911,3.38514352251266e-32,1.62486889080608e-30
"RNF44",7.91838612435974,-4.94087052034488,4.01223710136883,0.00423475998701734,0.0338780798961387
"IFT81",2115.41566630117,0.294065374032202,0.139656444690312,0.0349289663712576,0.119756456130026
"IFT81.1",712.369740168651,0.214542019031846,0.181696439261067,0.233019170507386,0.430189237859789
"IFT81.2",924.685058145756,0.459858694880037,0.174106632638574,0.00730695503229404,0.0474343120927963
"P2RX4",2450.90399621679,-0.0301266200329161,0.169019541113309,0.853196805443927,0.910476920189213
"P2RX7",47.7584929176138,-0.167415375033502,0.505185944504207,0.700371166059845,0.80042418978268
"P2RX7.1",163.068813036802,0.641908015319865,0.326632868054292,0.0369495155206913,0.122315637585737
"ARPC3",2848.61724511909,-0.121706493639478,0.146301584904731,0.398279128020941,0.57327551290798
"RAD9B",32.4260878113403,-0.0344330870587124,0.592703400663301,0.939561944690372,0.949452070423955
"HVCN1",3054.08501321475,-0.358511197945982,0.130061580451036,0.00570744548584509,0.0421472897416253
"CCDC63",15.8984582412644,-0.450961315906387,0.752726103282112,0.390720731485536,0.57327551290798
"HVCN1.1",817.457240910761,-0.179221684906144,0.177845973491527,0.304432110953788,0.495676874194395
"PPP1CC",69223.6556276612,-0.414752423474121,0.112195001715307,0.00022034664250442,0.00264415971005305
"CUX2.1",326.406787797973,0.923985436260479,0.255668337615335,0.000174123104032866,0.00238797399816502
"RHOF",6.7172576184708,-0.150669478405978,0.918443932270256,0.68297019540655,0.797077083673863
"No.hit",0,NA,NA,NA,NA
"ORAI1",1481.44147680471,-0.330758538954956,0.145551122591947,0.0231638418612761,0.0937579449029141
"IL33",63.9390406498632,-0.464262099390426,0.483428874168442,0.268726649282332,0.469050151474615
"MORN3",0,NA,NA,NA,NA
"ORAI1.1",237.742375412969,-0.35194059189912,0.30180241114354,0.215908240221851,0.406415511005837
"KDM2B.2",39.3327922771106,0.0879964191307543,0.5496602846999,0.851262276949705,0.910476920189213
"AAR2",154.901937264511,0.259341274603764,0.319985892820727,0.392125789593923,0.57327551290798
"RALGAPA2",729.41771691276,0.436757072814317,0.189745689034958,0.0187692185129879,0.081902044420311
"ACAD10.1",96.085305600529,-0.384713127398747,0.420153838097965,0.30551503430538,0.495676874194395
"LOC107529573.1",136.756034931925,-0.742578901500938,0.351752154449105,0.0234394862257285,0.0937579449029141
"LOC107529573.2",50.7504999113955,-0.456381970714921,0.56748714466343,0.316105958201293,0.497478229300395
"NAA25.1",4305.87208869606,-0.172423434810051,0.131145314130914,0.210678493428018,0.404502707381795
"TRAFD1",10986.5849718929,-0.258048940199694,0.136157374555265,0.0534840147325415,0.160452044197624
"HECTD4.2",266.309094101294,0.255484874022407,0.259770688541848,0.309798046371497,0.495676874194395
"PTPN11.1",1064.54426325339,0.132851646267048,0.160847478017939,0.403893400152009,0.57327551290798
"TRIM35",0,NA,NA,NA,NA
"GTF3C5",12.4424129727074,0.21412909429584,0.804290386057786,0.65219695605593,0.782636347267116
"LOC107540448",0.149790764101116,0.063645648433857,1.01596297016288,0.868085265772647,NA
"RPH3A.2",204.061081357335,0.149766389465778,0.345551167689535,0.63977619077162,0.777449548279437
"DTX1.2",0,NA,NA,NA,NA
"LOC107529617.1",844.752507825361,0.228456247954235,0.18163042548507,0.200545558974684,0.404502707381795
"DDX54.2",50.8038329488194,-0.0330021628462941,0.524792898923592,0.93682511306635,0.949452070423955
"TPCN1.2",755.936780476789,0.16225719873616,0.177936473423304,0.355423464235607,0.541597659787592
"SDSL.1",0.146271753318701,-0.0730794148014723,1.01858838888257,0.788851840083208,NA
"SREK1",0.247003677661846,0.061845776847003,1.01799898953293,0.788413135590759,0.869973115134631
"LOC101685392",0,NA,NA,NA,NA
"RBBP6",0,NA,NA,NA,NA
"SREK1.1",0,NA,NA,NA,NA
"GSDMA",0,NA,NA,NA,NA
"LOC113907474",0,NA,NA,NA,NA
"ZDBF2",3.95435850547195,-0.130693635019393,0.905622932763152,0.757298769155084,0.845356765568466
"LOC107126799",27.0553134477718,0.380472834776701,0.859210936341419,0.44963153850648,0.607952502769326
"LOC107535774",354.12993061154,-0.482343876992982,0.247247794420191,0.0431654711222772,0.138129507591287
"LOC107535774.1",0,NA,NA,NA,NA
"KDM2B.3",1092.50121884731,0.422908739960856,0.161262063344864,0.00786263318953999,0.0474343120927963
"ANAPC5.2",489.321753594441,0.09152571673409,0.226215825337523,0.678819581646445,0.797077083673863
"CAMKK2.2",0,NA,NA,NA,NA
"RBM19.2",1638.6830748166,0.307776576194197,0.143759329510948,0.0305797996490996,0.112910029473599
"UGGT1",0,NA,NA,NA,NA
"UGGT1.1",212.404381706647,-2.83523035267208,0.374427651314636,1.92588474191175e-15,4.62212338058819e-14
"IL3RA",4.15790642698856,-0.762095588941348,1.45516206062733,0.0255160458758717,0.0979816161633472
"TBX5.1",38.5153943340151,-6.10489810246659,1.12452335054849,4.8579898551408e-09,7.77278376822528e-08
"TBX5.2",0,NA,NA,NA,NA
"TBX5.3",290.311142859792,-9.19245989128454,0.85222012284115,2.84522481050163e-26,9.10471939360521e-25
"Kcnmb1",3.5907978660316,-0.342136653952865,1.09716603496902,0.11164336979781,0.29771565279416
"TBX5.4",2.26707857802255,-0.212774002186428,1.04481939097931,0.299670428110999,0.495676874194395
"LOC107529627",1766.64127245023,-8.90562387065012,0.62359937874729,1.01087158202941e-49,9.70436718748233e-48
"MFSD8",7.27907093375364,-0.0268534795642853,0.898410119579047,0.932721578013885,0.949452070423955
"ATP2A2.1",5445.94718120301,0.172018836456886,0.132400856200314,0.191033842061098,0.398679322562292
"ANAPC7.1",55.1995178744054,0.340036861198287,0.488107111489097,0.427715763168512,0.586581618059673
"LOC107527293",0.876854305071208,-0.0226909711057878,1.01378036862265,0.92128838972749,0.949452070423955
"TCTN1",0,NA,NA,NA,NA
"CCDC63.1",4.64359940047663,0.0103531060536583,0.972086400934522,0.966444375341893,0.966444375341893
"CUX2.2",1268.83631860639,1.1509414856572,0.18475919151152,1.84557019589321e-10,3.54349477611496e-09
"GRK4",31.5296835371075,0.750962205493095,0.668043136380066,0.146379696741153,0.346914407201665
